message_index	start_time	timestamp	calc_duration	total_elapsed_time	total_timer_time	length_type	swim_stroke	total_strokes	avg_speed	avg_swimming_cadence	avg_heart_rate
0	2026-05-22 18:18:17 CST	1148426297	0	32.12	32.12	1	1	14.00	0.71	26.00	93.0
1	2026-05-22 18:18:49 CST	1148426297	0	33.62	33.62	1	1	15.00	0.68	27.00	120.0
2	2026-05-22 18:19:23 CST	1148426297	0	34.19	34.19	1	1	16.00	0.67	28.00	128.0
3	2026-05-22 18:19:57 CST	1148426297	0	31.69	31.69	1	1	14.00	0.72	27.00	135.0
4	2026-05-22 18:20:29 CST	1148426297	0	35.75	35.75	1	1	16.00	0.64	27.00	134.0
5	2026-05-22 18:21:04 CST	1148426297	0	32.19	32.19	1	1	14.00	0.71	26.00	140.0
6	2026-05-22 18:21:37 CST	1148426297	0	34.94	34.94	1	1	16.00	0.65	27.00	141.0
7	2026-05-22 18:22:11 CST	1148426297	0	32.00	32.00	1	1	14.00	0.71	26.00	142.0
8	2026-05-22 18:22:43 CST	1148426297	0	33.50	33.50	1	1	15.00	0.68	27.00	141.0
9	2026-05-22 18:23:17 CST	1148426297	0	35.44	35.44	1	1	16.00	0.64	27.00	135.0
10	2026-05-22 18:23:52 CST	1148426297	0	34.88	34.88	1	1	16.00	0.65	28.00	135.0
11	2026-05-22 18:24:27 CST	1148426297	0	33.88	33.88	1	1	15.00	0.68	27.00	144.0
12	2026-05-22 18:25:01 CST	1148426297	0	36.25	36.25	1	1	16.00	0.63	26.00	142.0
13	2026-05-22 18:25:37 CST	1148426297	0	32.56	32.56	1	1	15.00	0.70	28.00	138.0
14	2026-05-22 18:26:10 CST	1148426297	0	35.19	35.19	1	1	16.00	0.65	27.00	134.0
15	2026-05-22 18:26:45 CST	1148426297	0	35.25	35.25	1	1	16.00	0.65	27.00	139.0
16	2026-05-22 18:27:20 CST	1148426297	0	37.12	37.12	1	1	17.00	0.62	27.00	137.0
17	2026-05-22 18:27:58 CST	1148426297	0	32.75	32.75	1	1	15.00	0.70	27.00	140.0
18	2026-05-22 18:28:30 CST	1148426297	0	35.06	35.06	1	1	16.00	0.65	27.00	136.0
19	2026-05-22 18:29:05 CST	1148426297	0	35.50	35.50	1	1	16.00	0.64	27.00	135.0
20	2026-05-22 18:29:41 CST	1148426297	0	34.88	34.88	1	1	16.00	0.65	28.00	134.0
21	2026-05-22 18:30:16 CST	1148426297	0	35.94	35.94	1	1	16.00	0.64	27.00	135.0
22	2026-05-22 18:30:52 CST	1148426297	0	35.25	35.25	1	1	16.00	0.65	27.00	140.0
23	2026-05-22 18:31:27 CST	1148426297	0	34.31	34.31	1	1	16.00	0.67	28.00	138.0
24	2026-05-22 18:32:01 CST	1148426297	0	36.06	36.06	1	1	16.00	0.63	27.00	139.0
25	2026-05-22 18:32:37 CST	1148426297	0	35.69	35.69	1	1	16.00	0.64	27.00	144.0
26	2026-05-22 18:33:13 CST	1148426297	0	35.62	35.62	1	1	16.00	0.64	27.00	139.0
27	2026-05-22 18:33:49 CST	1148426297	0	34.75	34.75	1	1	16.00	0.66	28.00	139.0
28	2026-05-22 18:34:23 CST	1148426297	0	35.38	35.38	1	1	16.00	0.65	27.00	139.0
29	2026-05-22 18:34:59 CST	1148426297	0	35.50	35.50	1	1	16.00	0.64	27.00	137.0
30	2026-05-22 18:35:34 CST	1148426297	0	36.25	36.25	1	1	16.00	0.63	26.00	136.0
31	2026-05-22 18:36:10 CST	1148426297	0	46.32	46.32	1	1	15.00	0.49	19.00	139.0
32	2026-05-22 18:36:57 CST	1148426297	0	311.72	311.72	0	255	0.00	0.00	0.00	135.0
33	2026-05-22 18:42:12 CST	1148426297	0	5.10	5.10	0	255	0.00	0.00	0.00	107.0
34	2026-05-22 18:42:17 CST	1148426297	0	33.12	33.12	1	1	9.00	0.69	16.00	108.0
35	2026-05-22 18:42:23 CST	1148426297	0	21.75	21.75	0	255	0.00	0.00	0.00	109.0
36	2026-05-22 18:42:45 CST	1148426297	0	35.62	35.62	1	1	20.00	0.64	34.00	132.0
