message_index	start_time	timestamp	calc_duration	total_elapsed_time	total_timer_time	length_type	swim_stroke	total_strokes	avg_speed	avg_swimming_cadence	avg_heart_rate
0	2026-05-29 18:06:53 CST	1149030413	0	33.12	33.12	1	1	13.00	0.69	24.00	86.0
1	2026-05-29 18:07:26 CST	1149030413	0	32.19	32.19	1	1	13.00	0.71	24.00	107.0
2	2026-05-29 18:07:58 CST	1149030413	0	33.88	33.88	1	1	14.00	0.68	25.00	117.0
3	2026-05-29 18:08:32 CST	1149030413	0	36.00	36.00	1	1	13.00	0.63	22.00	122.0
4	2026-05-29 18:09:08 CST	1149030413	0	33.50	33.50	1	1	12.00	0.68	21.00	119.0
5	2026-05-29 18:09:42 CST	1149030413	0	37.19	37.19	1	1	13.00	0.62	21.00	115.0
6	2026-05-29 18:10:19 CST	1149030413	0	34.56	34.56	1	1	13.00	0.66	23.00	117.0
7	2026-05-29 18:10:53 CST	1149030413	0	37.12	37.12	1	1	14.00	0.62	23.00	118.0
8	2026-05-29 18:11:31 CST	1149030413	0	34.00	34.00	1	1	13.00	0.67	23.00	126.0
9	2026-05-29 18:12:05 CST	1149030413	0	34.94	34.94	1	1	13.00	0.65	22.00	126.0
10	2026-05-29 18:12:39 CST	1149030413	0	32.06	32.06	1	1	13.00	0.71	24.00	123.0
11	2026-05-29 18:13:12 CST	1149030413	0	36.00	36.00	1	1	14.00	0.63	23.00	123.0
12	2026-05-29 18:13:48 CST	1149030413	0	31.44	31.44	1	1	12.00	0.73	23.00	123.0
13	2026-05-29 18:14:19 CST	1149030413	0	34.50	34.50	1	1	13.00	0.66	23.00	122.0
14	2026-05-29 18:14:53 CST	1149030413	0	34.69	34.69	1	1	14.00	0.66	24.00	119.0
15	2026-05-29 18:15:28 CST	1149030413	0	33.25	33.25	1	1	13.00	0.69	23.00	124.0
16	2026-05-29 18:16:01 CST	1149030413	0	33.94	33.94	1	1	13.00	0.67	23.00	125.0
17	2026-05-29 18:16:35 CST	1149030413	0	32.62	32.62	1	1	13.00	0.70	24.00	127.0
18	2026-05-29 18:17:08 CST	1149030413	0	33.06	33.06	1	1	13.00	0.69	24.00	129.0
19	2026-05-29 18:17:41 CST	1149030413	0	32.56	32.56	1	1	13.00	0.70	24.00	132.0
20	2026-05-29 18:18:14 CST	1149030413	0	32.38	32.38	1	1	13.00	0.71	24.00	130.0
21	2026-05-29 18:18:46 CST	1149030413	0	36.12	36.12	1	1	14.00	0.63	23.00	134.0
22	2026-05-29 18:19:22 CST	1149030413	0	32.12	32.12	1	1	13.00	0.71	24.00	130.0
23	2026-05-29 18:19:54 CST	1149030413	0	34.69	34.69	1	1	14.00	0.66	24.00	124.0
24	2026-05-29 18:20:29 CST	1149030413	0	36.31	36.31	1	1	15.00	0.63	25.00	123.0
25	2026-05-29 18:21:05 CST	1149030413	0	32.69	32.69	1	1	13.00	0.70	24.00	119.0
26	2026-05-29 18:21:38 CST	1149030413	0	33.38	33.38	1	1	13.00	0.69	23.00	128.0
27	2026-05-29 18:22:11 CST	1149030413	0	35.25	35.25	1	1	14.00	0.65	24.00	127.0
28	2026-05-29 18:22:47 CST	1149030413	0	33.12	33.12	1	1	13.00	0.69	24.00	125.0
29	2026-05-29 18:23:20 CST	1149030413	0	36.19	36.19	1	1	14.00	0.63	23.00	133.0
30	2026-05-29 18:23:56 CST	1149030413	0	32.88	32.88	1	1	13.00	0.69	24.00	134.0
31	2026-05-29 18:24:29 CST	1149030413	0	34.50	34.50	1	1	13.00	0.66	23.00	128.0
32	2026-05-29 18:25:03 CST	1149030413	0	34.06	34.06	1	1	14.00	0.67	25.00	123.0
33	2026-05-29 18:25:37 CST	1149030413	0	34.75	34.75	1	1	14.00	0.66	24.00	124.0
34	2026-05-29 18:26:12 CST	1149030413	0	33.94	33.94	1	1	14.00	0.67	25.00	130.0
35	2026-05-29 18:26:46 CST	1149030413	0	36.62	36.62	1	1	14.00	0.62	23.00	128.0
36	2026-05-29 18:27:23 CST	1149030413	0	34.94	34.94	1	1	14.00	0.65	24.00	125.0
