message_index	start_time	timestamp	calc_duration	total_elapsed_time	total_timer_time	length_type	swim_stroke	total_strokes	avg_speed	avg_swimming_cadence	avg_heart_rate
0	2026-06-12 18:17:31 CST	1150240651	0	35.62	35.62	1	1	16.00	0.64	27.00	0.0
1	2026-06-12 18:18:07 CST	1150240651	0	31.06	31.06	1	1	14.00	0.74	27.00	113.0
2	2026-06-12 18:18:38 CST	1150240651	0	33.38	33.38	1	1	14.00	0.69	25.00	125.0
3	2026-06-12 18:19:11 CST	1150240651	0	33.44	33.44	1	1	15.00	0.68	27.00	128.0
4	2026-06-12 18:19:44 CST	1150240651	0	32.94	32.94	1	1	15.00	0.69	27.00	126.0
5	2026-06-12 18:20:17 CST	1150240651	0	32.56	32.56	1	1	15.00	0.70	28.00	130.0
6	2026-06-12 18:20:50 CST	1150240651	0	34.44	34.44	1	1	14.00	0.66	24.00	131.0
7	2026-06-12 18:21:24 CST	1150240651	0	33.62	33.62	1	1	15.00	0.68	27.00	132.0
8	2026-06-12 18:21:58 CST	1150240651	0	33.62	33.62	1	1	15.00	0.68	27.00	136.0
9	2026-06-12 18:22:32 CST	1150240651	0	34.25	34.25	1	1	15.00	0.67	26.00	136.0
10	2026-06-12 18:23:06 CST	1150240651	0	34.00	34.00	1	1	15.00	0.67	26.00	136.0
11	2026-06-12 18:23:40 CST	1150240651	0	33.75	33.75	1	1	15.00	0.68	27.00	133.0
12	2026-06-12 18:24:14 CST	1150240651	0	33.56	33.56	1	1	15.00	0.68	27.00	122.0
13	2026-06-12 18:24:47 CST	1150240651	0	34.94	34.94	1	1	16.00	0.65	27.00	118.0
14	2026-06-12 18:25:22 CST	1150240651	0	34.75	34.75	1	1	16.00	0.66	28.00	132.0
15	2026-06-12 18:25:57 CST	1150240651	0	34.88	34.88	1	1	16.00	0.65	28.00	117.0
16	2026-06-12 18:26:32 CST	1150240651	0	35.00	35.00	1	1	16.00	0.65	27.00	118.0
17	2026-06-12 18:27:07 CST	1150240651	0	34.12	34.12	1	1	16.00	0.67	28.00	118.0
18	2026-06-12 18:27:41 CST	1150240651	0	33.00	33.00	1	1	16.00	0.69	29.00	115.0
19	2026-06-12 18:28:14 CST	1150240651	0	33.75	33.75	1	1	16.00	0.68	28.00	121.0
20	2026-06-12 18:28:48 CST	1150240651	0	33.44	33.44	1	1	15.00	0.68	27.00	117.0
21	2026-06-12 18:29:21 CST	1150240651	0	34.62	34.62	1	1	15.00	0.66	26.00	116.0
22	2026-06-12 18:29:56 CST	1150240651	0	34.81	34.81	1	1	16.00	0.66	28.00	116.0
23	2026-06-12 18:30:31 CST	1150240651	0	33.38	33.38	1	1	16.00	0.69	29.00	116.0
24	2026-06-12 18:31:04 CST	1150240651	0	34.38	34.38	1	1	15.00	0.67	26.00	120.0
25	2026-06-12 18:31:38 CST	1150240651	0	34.06	34.06	1	1	16.00	0.67	28.00	119.0
26	2026-06-12 18:32:12 CST	1150240651	0	34.31	34.31	1	1	16.00	0.67	28.00	120.0
27	2026-06-12 18:32:47 CST	1150240651	0	33.75	33.75	1	1	16.00	0.68	28.00	122.0
28	2026-06-12 18:33:20 CST	1150240651	0	35.94	35.94	1	1	16.00	0.64	27.00	125.0
29	2026-06-12 18:33:56 CST	1150240651	0	34.81	34.81	1	1	16.00	0.66	28.00	126.0
30	2026-06-12 18:34:31 CST	1150240651	0	34.06	34.06	1	1	16.00	0.67	28.00	129.0
31	2026-06-12 18:35:05 CST	1150240651	0	35.75	35.75	1	1	17.00	0.64	29.00	123.0
32	2026-06-12 18:35:41 CST	1150240651	0	36.81	36.81	1	1	16.00	0.62	26.00	122.0
33	2026-06-12 18:36:18 CST	1150240651	0	33.81	33.81	1	1	16.00	0.68	28.00	122.0
34	2026-06-12 18:36:52 CST	1150240651	0	36.44	36.44	1	1	16.00	0.63	26.00	107.0
35	2026-06-12 18:37:28 CST	1150240651	0	33.75	33.75	1	1	16.00	0.68	28.00	110.0
